Stem Length,Leaf Count,Leaf Width,Leaf Length,Stem Thickness,Growth Stage
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
23.0,5.0,9.0,11.5,1.5,2.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
19.0,4.0,6.0,7.0,2.0,1.0
